gene_id	HER2.1	HER2.2	HER2.3	NBS1	NBS2	NBS3	Non.TNBC1	Non.TNBC2	Non.TNBC3	TNBC1	TNBC2	TNBC3
ENSG00000011007	237	542	371	729	890	1527	939	318	341	304	91	248
ENSG00000011009	124	147	131	408	372	321	595	152	131	144	75	106
ENSG00000011021	112	129	102	227	274	300	166	119	142	98	26	139
ENSG00000011028	372	174	208	810	2157	3092	373	439	578	284	144	287
ENSG00000011052	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	2	1	5	4	9	1	11	15	31	27	2	50
ENSG00000011105	98	61	235	730	954	1269	616	219	338	167	60	276
ENSG00000011114	242	323	295	415	675	1001	591	239	293	353	118	246
ENSG00000011132	39	57	50	193	196	133	93	102	65	53	13	21
ENSG00000011143	75	86	286	122	109	85	142	192	138	87	14	54
ENSG00000011198	184	525	230	1169	1092	1511	309	394	242	251	82	263
ENSG00000011201	221	53	125	143	269	409	186	184	285	88	19	163
ENSG00000011243	117	263	97	1013	923	1365	219	161	168	170	39	113
ENSG00000011258	1260	546	270	213	354	339	459	521	474	372	38	157
ENSG00000011260	337	301	176	541	730	710	481	327	274	357	57	142
ENSG00000011275	343	407	454	315	571	674	811	331	307	356	127	229
ENSG00000011295	202	458	220	776	881	625	77	177	123	135	25	65
ENSG00000011304	596	999	713	4049	4925	5757	880	633	571	612	136	291
ENSG00000011332	4	4	4	31	34	70	24	7	5	40	1	14
ENSG00000011347	97	89	311	796	1201	954	501	296	303	178	46	419
ENSG00000011376	155	458	238	182	275	251	173	284	167	192	49	150
ENSG00000011405	613	868	916	544	1164	1578	1105	633	973	646	166	567
ENSG00000011422	110	205	116	1467	1541	1570	270	74	69	128	70	171
ENSG00000011426	243	1060	455	48	98	42	392	100	119	847	86	205
ENSG00000011451	155	340	113	461	687	864	224	122	130	209	50	71
ENSG00000011454	559	1484	624	568	1106	1429	1149	816	696	1286	202	771
ENSG00000011465	2252	104	1474	13465	21772	24137	4988	2619	3678	854	1291	7055
ENSG00000011478	28	44	39	151	230	154	124	86	68	52	31	27
ENSG00000011485	192	183	217	524	579	388	653	369	434	410	83	207
ENSG00000011523	225	289	224	229	353	531	476	343	350	119	42	199
ENSG00000011566	376	440	380	290	645	914	964	291	405	264	35	296
ENSG00000011590	13	23	6	11	5	1	20	20	25	28	6	16
ENSG00000011600	110	59	160	85	92	57	586	119	138	173	85	136
ENSG00000011638	89	181	77	721	1321	1155	614	152	259	144	78	135
ENSG00000011677	14	0	20	0	0	1	11	12	14	25	0	61
ENSG00000012048	166	769	227	57	63	55	49	235	294	451	5	481
ENSG00000012061	172	543	107	1208	1033	1421	471	390	344	247	74	134
ENSG00000012124	50	8	34	9	13	30	49	21	40	52	2	93
ENSG00000012171	11	7	7	481	533	397	688	115	73	11	12	28
ENSG00000012174	202	134	308	139	238	327	485	238	318	204	58	247
ENSG00000012211	58	51	98	545	403	492	184	88	79	133	40	102
ENSG00000012223	2077	840	821	28834	5212	5825	60	43	84	86	604	53
ENSG00000012232	152	304	134	324	617	520	420	307	291	221	148	167
ENSG00000012504	0	0	0	0	0	0	2	1	1	7	0	14
ENSG00000012660	1555	958	671	6512	5547	8121	8118	1275	1199	1127	228	670
ENSG00000012779	139	46	191	287	159	216	138	54	78	88	40	114
ENSG00000012817	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012822	256	235	210	1067	1542	1765	784	571	533	239	75	401
ENSG00000012963	102	142	122	420	340	583	292	189	162	287	36	130
ENSG00000012983	332	443	355	521	1008	1267	464	203	306	258	61	244
ENSG00000013016	78	33	77	164	216	271	180	89	146	54	43	98
ENSG00000013275	118	221	203	1185	905	1053	751	398	365	396	121	238
ENSG00000013288	259	86	177	1038	754	916	694	504	412	126	54	234
ENSG00000013293	4	0	0	7	3	12	11	14	7	38	0	37
ENSG00000013297	21	2	6	89	87	350	22	34	100	22	6	33
ENSG00000013306	139	290	171	1760	1018	673	549	364	318	228	71	87
ENSG00000013364	295	148	483	1078	906	1177	1324	832	711	388	178	486
ENSG00000013374	368	699	437	625	990	1054	561	418	410	1050	81	477
ENSG00000013375	566	1269	878	923	1240	1623	1128	399	355	599	128	529
ENSG00000013392	38	64	54	126	83	122	144	68	51	47	16	60
ENSG00000013441	718	515	576	5462	3679	3096	1506	827	808	460	105	452
ENSG00000013503	77	220	112	91	84	143	162	75	127	135	23	100
ENSG00000013523	135	226	188	317	292	374	195	143	174	149	50	84
ENSG00000013561	172	228	290	424	387	349	399	454	498	228	67	266
ENSG00000013563	74	56	70	281	261	209	381	153	226	113	26	212
ENSG00000013573	72	195	72	174	234	200	156	189	168	340	38	176
ENSG00000013583	92	112	65	618	554	506	137	298	341	100	38	104
ENSG00000013588	538	75	266	3568	2827	4418	1457	4862	2324	195	125	1362
ENSG00000013619	24	166	3	96	305	492	12	18	27	51	11	57
ENSG00000013725	122	27	71	31	45	28	44	29	37	74	6	70
ENSG00000013810	124	122	110	103	133	65	209	114	88	99	16	58
ENSG00000014123	298	451	285	337	367	496	444	222	213	276	71	237
ENSG00000014138	56	56	51	23	27	11	80	37	62	107	15	60
ENSG00000014164	74	220	51	115	298	369	63	80	81	159	22	58
ENSG00000014216	359	200	522	2303	1913	1582	1482	650	747	551	203	189
ENSG00000014257	15	1	14	31	10	19	30	8	15	9	0	36
ENSG00000014641	471	587	471	1240	831	625	1086	327	382	311	71	277
ENSG00000014824	616	664	590	743	871	825	954	785	911	467	197	396
ENSG00000014914	47	84	27	193	176	183	115	73	86	217	33	159
ENSG00000014919	122	219	141	272	242	258	242	125	163	121	7	135
ENSG00000015133	294	466	293	256	465	464	357	87	163	315	82	235
ENSG00000015153	184	221	206	136	249	253	207	139	126	157	21	114
ENSG00000015171	520	639	490	1172	1192	1679	2329	710	748	636	216	722
ENSG00000015285	61	49	30	49	42	38	38	23	27	60	15	37
ENSG00000015413	19	5	2	6	3	2	6	9	12	10	1	10
ENSG00000015475	85	268	144	215	511	250	365	70	76	116	60	73
ENSG00000015479	122	150	126	52	103	52	54	91	104	82	11	86
ENSG00000015520	2	2	2	49	60	85	9	20	12	55	0	61
ENSG00000015532	264	77	85	121	198	195	382	292	300	153	45	88
ENSG00000015568	0	0	0	1	0	0	0	1	0	1	0	2
ENSG00000015592	0	1	1	6	9	9	2	6	3	9	0	12
ENSG00000015676	266	423	530	646	737	807	822	628	542	531	146	497
ENSG00000016082	0	17	0	1	3	0	0	3	4	2	0	3
ENSG00000016391	59	395	114	358	454	349	122	163	105	151	61	81
ENSG00000016402	50	25	22	388	96	177	698	123	219	19	5	57
ENSG00000016490	1	0	0	0	0	0	0	0	0	9	0	12
ENSG00000016602	1	1	0	43	39	29	0	1	0	8	0	8
ENSG00000016864	174	265	243	267	350	370	379	507	274	206	82	222
ENSG00000017260	904	3382	1585	1531	1490	1924	2107	820	1103	1077	490	1091
ENSG00000017427	394	57	101	414	2138	2589	164	134	340	79	13	301
ENSG00000017483	24	20	44	37	89	96	66	31	34	214	26	83
ENSG00000017797	286	449	324	883	1066	1425	798	793	678	707	196	527
ENSG00000018189	439	353	373	422	757	746	579	440	442	251	64	258
ENSG00000018236	65	1	14	106	363	892	60	171	157	18	10	478
ENSG00000018280	65	35	39	14	9	11	74	36	20	53	39	39
ENSG00000018408	344	1108	231	2707	5909	8228	992	355	568	826	262	558
ENSG00000018510	382	245	322	319	363	378	1503	359	366	428	87	257
ENSG00000018607	0	1	0	0	0	0	2	0	0	2	0	3
ENSG00000018610	80	116	80	269	218	235	233	121	217	131	22	79
ENSG00000018625	4	2	0	126	155	216	21	58	69	53	2	143
ENSG00000018699	121	253	156	325	291	284	663	129	192	229	97	123
ENSG00000018869	21	12	11	24	16	26	20	40	8	24	4	12
ENSG00000019102	0	1	0	235	153	90	1	4	1	1	5	1
ENSG00000019144	307	171	168	660	1284	1458	990	553	640	619	224	510
ENSG00000019169	8	21	25	29	38	8	23	7	9	32	17	44
ENSG00000019186	3	131	15	213	2250	50	1	8	11	15	2	16
ENSG00000019485	32	33	20	140	166	279	145	54	58	72	18	71
ENSG00000019505	6	2	12	10	10	24	2	27	67	34	39	93
ENSG00000019549	76	161	57	270	664	1588	152	108	140	115	32	93
ENSG00000019582	3669	2076	4224	19209	14420	16007	2841	1378	1433	3430	622	1575
ENSG00000019991	79	49	56	192	415	510	114	74	124	54	9	130
ENSG00000019995	257	685	333	766	1347	1575	631	952	474	354	70	248
ENSG00000020129	80	94	78	219	232	277	483	239	248	120	28	58
